Primary ASIN,Product Title,Rating,Global Ratings,Global Reviews,Product URL,Review No.,Variant ASIN,Variant Details,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Reviewed In,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,1,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R3E3BYRZ2RAWD0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003UMHO8G,Zelalem badasa,https://www.amazon.com/gp/profile/amzn1.account.AF6DVIJNPE4BLA7KLONSSPZENOAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"December 20, 2018",Good product,I like the sizes and most of the Furniture.,N/A,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,2,N/A,N/A,N/A,Hellen,N/A,5.0 out of 5 stars,the United Kingdom,"December 17, 2015",N/A,"We are an Italian-English family with high expectations on both espresso and filter coffee - having purchased several machines which did not last in the past, we think this machine is EXCELLENT - still going strong after a couple of years, I also bought one for my Mum.  Customers who complained about the filter jug dribbling - at first I did not know what they meant, but if you fill the jug right up to the top for a lot of filter coffee, then yes, it strangely dribbles, but otherwise if you are making up to 4/5 mugs it is fine.  Otherwise the machine makes excellent espresso and using it every day for cappuccino (filtering water in advance) it is still going very strong.  Worth nothing that the anti-scale filter is for the filter coffee side only, there is no equivalent on the espresso side, so worth using filtered water on this side for long life (although I am often lazy and don't, and it still works fine).  Of particular note is the excellent cappuccino frother - really easy to take off and rinse after each use, without having to dismantle all pieces - the best and most practical design I have seen yet.  This machine is well-worth the money.",2 people found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,3,N/A,N/A,N/A,Partisan,N/A,2.0 out of 5 stars,the United Kingdom,"September 28, 2014",N/A,"I bought this machine just under 2 years ago with high hopes - it appears to be a great combination with filter and espresso in one.  The making of filter coffee is excellent with an easy front-loading water tank.  I prefer paper filters - much more hygienic and less likely to ""taste"" the coffee.  Coffee tastes good and the hot plate keeps the brewed coffee very hot - a big improvement on my last machine.I only wish the espresso process was as efficient.  The design doesn't allow you to prepare the milk whilst you're making the espresso - it's either one or the other so either the milk or the espresso is cooling whilst you're doing the other part.  The milk steamer nozzle is very short and awkwardly placed and really only allows a small container under.The steamer stopped working about 6 months ago - simply fizzled out, despite my having cleaned all the nozzles after every use.  There is no help whatsoever on the DeLonghi website so I tried everything I could think to unblock the tube - it sputtered into intermittent life a few times but has now stopped working completely.  The steamer is inside the machine so there is no access and it cannot be dismantled to clean (assuming that is the problem).  End of story and very disappointing that this should happen to a machine that's less than 2 years old - I'm now left with an expensive filter coffee maker. My advice - look elsewhere.",One person found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,4,N/A,N/A,N/A,Mr,N/A,4.0 out of 5 stars,the United Kingdom,"February 11, 2015",N/A,"This is a nice machine and I've been very happy with the basics. The drip brew is pretty quick and the tank is very easy to fill without risk of overflowing. The swing out section for the coffee filter and water makes day to day operation simple. The espresso maker works well and I find it very handy for a quick cup. I haven't tried using the pods as regular ground coffee is simple enough to use with it.On the downside, I find the jug extremely prone to spillage when pouring. Unlike most coffee pots, this does not have a curved spout. This leads to me often spilling water when filling up the machine or pouring coffee. After quite a bit of use, I'm getting the hang of holding it at a slight angle so it doesn't spill quite as much!The one big disappointment I found was the milk frother. It isn't very powerful, so takes a very long time to correctly froth and heat the milk. What I also find strange about this part is that I cannot heat the water for an espresso and steam for the milk frother at the same time. This means making a latte or cappuccino very tricky unless I'm missing something! You have to make one and then wait for the other part to heat up before use. So you end up with luke warm milk or a stewed espresso.For the money, I'd have expected a bit more on that front. But if you want a sturdy, well made machine and don't worry about milk frothing it is a decent buy.",One person found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,5,N/A,N/A,N/A,Mr. James J. Sleigh,N/A,5.0 out of 5 stars,the United Kingdom,"September 2, 2015",N/A,"I've just replaced my coffee maker with this one. The instruction booklet makes it look somewhat complicated to use, but that is not the case. The machine is very easy to use and makes brilliant and HOT coffee.The espresso feature uses about a third of the ground coffee of my old machine and the taste is great.Filling it with water is really easy, especially the espresso tank.All the parts of the machine are very accessible with no 'fiddly' bits.A top rate machine at very reasonable price, good value for money.",3 people found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,6,N/A,N/A,N/A,coofercat,N/A,5.0 out of 5 stars,the United Kingdom,"April 24, 2014",N/A,"This is a great machine - the pot + espresso sides make it very handy indeed. The espresso side will only do one double espresso at a time if you want it at high pressure. That said, it seems to push water through the coffee after its run out of pressure quite well, so unless you're a princess, you'll get enough out in one go. The milk steamer seems to work really well, although getting milk frothy takes a bit of practice. The pot side seems to work pretty nicely too - it takes size 4 filter papers, but comes with about 5 of them so you can get going right away.",One person found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,7,N/A,N/A,N/A,Debbie S,N/A,2.0 out of 5 stars,the United Kingdom,"January 12, 2014",N/A,"I bought this item for my neighbor 7/02/12I was given this as a gift in dec 2011, I was originally so pleased with the product that I bought a friend one for a 40th birthday.Our pleasure was short lived.The tank is difficult to fill without getting water everywhere and the steam is more like a slightly wet puff.Then horror of horrors,my neighbor appeared last week, and told me his started shorting out the sockets throughout the house.Mine has been doing it as well we discovered.Would not buy it again.Contacted manufacturer,surprise,surprise they don't want to know",N/A,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,8,N/A,N/A,N/A,vigorniensis,N/A,1.0 out of 5 stars,the United Kingdom,"August 31, 2014",N/A,"Not great! Started to fail after about 6 months and blow fuses in the main board. Also when the top with the water and coffee is closed it catches on the coffee jug and pulls it out of position. Lastly, whenever it pours, however carefully you try, it dribbles coffee and is not fit for purpose imho. For crying out loud don't the designers ever test out their work???? My advice if you're thinking of buying? Don't.",One person found this helpful,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,9,N/A,N/A,N/A,TheFish,N/A,5.0 out of 5 stars,the United Kingdom,"June 12, 2014",N/A,"I looked at a number of bean to cup machines before buying this, but they were too complicated and also noisy and temperamental according to reviews. This little machine is simple to use and flexible, especially as I can use the filter part when I have a group of people visiting. The espresso side works really well including the steamer. I'm planning on buying a grinder for the full bean to cup experience, at a fraction of the automated price.",N/A,Yes
B003UMHO8G,"DeLonghi BCO411.B 15-Bar Combi Espresso Coffee Machine, 220-Volts (Not for USA)",3.8 out of 5,219,202,https://www.amazon.com/DeLonghi-BCO411-B-Espresso-Machine-220-Volts/dp/B003UMHO8G/ref=cm_cr_arp_d_product_top?ie=UTF8,10,N/A,N/A,N/A,265bhp,N/A,4.0 out of 5 stars,the United Kingdom,"January 28, 2013",N/A,The instructions suggest there's a water filter in the espresso-side of this coffee maker however ours didn't come with it. We wrote back to Amazon to question this but the only recourse we had was to send our back in favour of another. Another came a few days later (Amazon's returns/replacement policy is very very good) but also without the filter so we tried it without the filter - it works perfectly well but the instructions are misleading.Christmas present for my wife. She's very happy with it.,2 people found this helpful,Yes
