,sequence,labels,scores
0,"Bought this for my wife because she like making shape and drawing picture on the cappuccino but this machine doesn’t matter we try change the beans or setting, we even called In but still can’t do it.  Big disappointment.","['not usability', 'not durability', 'usablity', 'durability']","[0.5857654809951782, 0.3696518838405609, 0.023578133434057236, 0.021004484966397285]"
1,Excellent slim espresso machine. Very easy to operate.,"['usablity', 'durability', 'not durability', 'not usability']","[0.8091095685958862, 0.1819368600845337, 0.004928688984364271, 0.004024940077215433]"
2,Good machine,"['usablity', 'durability', 'not usability', 'not durability']","[0.841865062713623, 0.14768122136592865, 0.005351996049284935, 0.005101755727082491]"
3,"First of all, it doesn't occupy space much thanks to its compact size. Economically it's important considering expensive land price.Secondly, its convenient features in design that has consudered most human behaviour to make own coffee, such as cup tray, cup warmer, 3 types of filters incl. ESE pod coffee etc.","['usablity', 'durability', 'not usability', 'not durability']","[0.7960306406021118, 0.1330837905406952, 0.03557758405804634, 0.03530806303024292]"
4,"I like latte coffee but not bothered about the patterns with the milk that comments are made. I've tried a few coffees and found that the tesco Italian suits my taste. Better than costa :-) . So as a coffee maker I like it a lot. Better than my old Tessimo that took expensive pods. This works out cheaper and better to use. The sleek design works for me due to space, only had it a week but all good. Watch YouTube videos to help you understand on how to works plenty on YouTube.","['usablity', 'durability', 'not durability', 'not usability']","[0.44745272397994995, 0.3897209167480469, 0.08344695717096329, 0.07937944680452347]"
5,"Reçu avant la date prévue, merci !Ah ces capsules !! En avez-vous déjà ouvert une ? C'est un cône en plastique où le café est emprisonné sous encore une fine pellicule en plastique . ( pas bon pour la planète ) Elles sont de surcroît deux fois plus chères que du café moulu ( 250gr au lieu de 128gr, soit :16 x 8gr pour les capsules ) . Ce percolateur fait du très bon café, ( l'eau chaude, réglable, est directement injectée sur le café, pas comme dans une capsule ) . De plus, vous pouvez utiliser des dosettes, style ""SENSEO"" (moins bon) s'il vous en reste encore, (c'est mon cas) dans le filtre prévu à cet effet . Ne vous inquiétez pas sila dosette est plus grande que le filtre : tassez-là sur les bords, et ça rentre . Cette machine est plus silencieuse que ma ""Krups  Dolce Gusto"" . Elle est bien pourvue en accessoires : Trois filtres, la cuillère doseur/tasse-café, le détartrant .Certains commentent qu'il faut tenir le perco lorsque l'on insère l'appareil à café : son faible encombrement, (donc sa légèreté ) est un atout pour un gain de place, et si l'on ne veut pas tenir l'engin, il faut en acheter un ""De  Pros"" , comme dans les Bars, et avoir la place pour le mettre .  CONCLUSION : très bon rapport qualité/prix .","['durability', 'usablity', 'not durability', 'not usability']","[0.3410869538784027, 0.3264719247817993, 0.17130273580551147, 0.1611383706331253]"
6,"The media could not be loaded.
                




   Bought this coffee machine to replace an old well loved de longhi - went with the same make because we'd been really happy in the past. It worked well for a couple of weeks and then just stopped pumping - we sent it back to Amazon for repair (as it was past the return/refund time) it came back looking like it hadn't even been unpacked out of the box and wasn't working any better when we plugged it back in. Just dripping through instead of the normal flow with crema that we are used to. The video that we've shared is actually it on a good day! We are now stuck with a coffee machine that we can't return, can't sell and doesn't work. Gutted.","['not durability', 'not usability', 'usablity', 'durability']","[0.5918382406234741, 0.16743658483028412, 0.13181371986865997, 0.10891149938106537]"
7,"The media could not be loaded.
                




   Dopo una settimana posso dire che fa un caffè ottimo. Devo dire che l' ho provata solo con Lavazza qualità rossa per moka ed è ottimo anche con questo tipo di caffè ,avevo solo quello in casa. Mi raccomando un misurino intero da  7 grammi e poi importante è la pressione. Per fare il cappuccino ho notato che il braccio si muove e si discosta dalla macchina rendendo più facile lavorare per ottenere la schiuma, (muovere  la tazza in maniera circolare aiuta a ottenere più schiuma). La pulizia è facilissima. I filtri si possono tirar via con quella guarnizione intorno che li rende molto più semplici da lavare. Il filtro per le cialde non ha il filtro removibile ma penso sia fatto di proposito. quando si schiaccia il pulsante del caffè La macchina emette per 3 secondi un rumore come se uscisse  caffè poi si arresta e riprende l erogazione. Ho letto che è del tutto normale. Come quando si fa il vapore che fa un rumore ad intermittenza. Un po' complicato regolare temperatura e quantità di caffè desiderata;inoltre, per me va bene così, ma il caffè non esce bollente come con la moka. Facilissimo pulire il raccoglitore sotto la tazzina. Per me è un' ottima  macchina del caffè paragonata anche alla precedente, saeco via venete de luxe, anche se non ho capito se quella color metal è effettivamente tutta acciaio inox e questa no o cambia solo il colore. Cmq questa nera è costata 20 euro in meno rispetto alla metal. Consiglio acqua della bottiglia e decalcificare spesso.","['durability', 'usablity', 'not durability', 'not usability']","[0.27231690287590027, 0.265985369682312, 0.23343080282211304, 0.22826695442199707]"
8,"Machine's pump started malfunctioning post descaling within 20 days of use, so called engineer/people who came to check the machine from Orient Electric had no idea how to diagnose the problem or check the machine in general. They asked me for the manual and sat down wondering what to do. They contacted their boss and told me they'd take the machine to the service centre. They had no product receiving slip. They asked me to write it all on a blank sheet of paper that they'll sign.This machine comes with a UK plug. They didn't even have the plug converter with them. They borrowed mine. After a week, the machine came back. The person who brought this back had no idea how to install it or run it. Couldn't demonstrate its functioning. The machine started delivering watery shots.  I went to Delonghi's youtube channel to learn the program reset procedure and ran it to get it back to default values. The problem with watery shots remained as it was. I reported this to the Orient Electric service centre and they sent the same 'I have no idea how this machine works' people to check the machine. The pump is dripping again.This might be a BAD QUALITY PROUCT supported by BAD QUALITY SERVICE.","['not durability', 'not usability', 'usablity', 'durability']","[0.35630324482917786, 0.2677684724330902, 0.18851198256015778, 0.18741630017757416]"
9,"I bought this coffee machine 1 week ago .If you would have asked me a week ago, I would have give it  1 star or no star if possible .. but now I will give it  4 stars. It is not perfect but it doesthe job ,it  work very well and you have a pretty decent coffee .Firstly I had  to read the instructions 3 times because there are not  very helpful but after I watch few videos on YouTube I got the hang of it .Do not judge it straight away ,take your time and be patient .You have to understand this is not an industrial coffee machine.Secondly once you do your coffee give it time to cool off so you could use the steamer for hot milk and capucino.Very easy to clean and so much cheaper then drinking a coffee out . Just a little update .I used it for 6 months now ,amazing little machine and the coffee it gets better and better or maybe my barista skills kicked in 😅.Highly recommended.After 1 year of purchaseGreat machine ,easy to clean ,the coffee it gets better and better .","['durability', 'usablity', 'not durability', 'not usability']","[0.2896839678287506, 0.2830130159854889, 0.22984446585178375, 0.19745858013629913]"
