url,series,model,Dimensions (wxdxh) (mm),Weight (Kg),Rated voltage/Frequency (V~Hz),Maximum cup height (mm),Pump pressure (bar),Water tank capacity (l),Input power (W),Beans container capacity (g),Grounds container capacity (n),Energy class,Milk carafe capacity (l),Used capsule container,Cups
https://www.delonghi.com/en/bco411-b-combi-coffee-maker/p/BCO411.B,All-In-One Combination coffee maker,BCO411.B,371x284x324,6.2,220-240 V / 50-60 Hz,,,,,,,,,,
https://www.delonghi.com/en/bco421-s-combi-coffee-maker/p/BCO421.S,All-In-One Combination coffee maker,BCO421.S,371x284x324,6.2,220-240 V / 50-60 Hz,,,,,,,,,,
https://www.delonghi.com/en/bco431-s-combi-coffee-maker/p/BCO431.S,All-In-One Combination coffee maker,BCO431.S,371x284x324,6.25,220-240 V / 50-60 Hz,,,,,,,,,,
https://www.delonghi.com/en/ec230-bk-stilosa-manual-espresso-maker/p/EC230.BK,Stilosa,EC230.BK,205x343x285,4.3,220-240 V / 50-60 Hz,110,15,1,1100,,,,,,
https://www.delonghi.com/en/ec235-bk-stilosa-manual-espresso-maker/p/EC235.BK,Stilosa,EC235.BK,205x343x285,4.3,220-240 V / 50-60 Hz,110,15,1,1100,,,,,,
https://www.delonghi.com/en/ec260-bk-stilosa-manual-espresso-maker/p/EC260.BK,Stilosa,EC260.BK,205x343x285,4.3,220-240 V / 50-60 Hz,110,15,1,1100,,,,,,
https://www.delonghi.com/en/ec685-bk-dedica-manual-espresso-maker/p/EC685.BK,Stilosa,EC685.BK,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/pump-espresso-dedica-ec685-m/p/EC685.M,Stilosa,EC685.M,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ec685-r-dedica-manual-espresso-maker/p/EC685.R,Stilosa,EC685.R,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ec685-w-dedica-manual-espresso-maker/p/EC685.W,Stilosa,EC685.W,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ec785-bg-dedica-metallics-manual-espresso-maker/p/EC785.BG,Stilosa,EC785.BG,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ec785-gy-dedica-metallics-manual-espresso-maker/p/EC785.GY,Stilosa,EC785.GY,149x330x304,4.2,220-240 V / 50-60 Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ec9155-mb-la-specialista-arte-manual-espresso-maker/p/EC9155.MB,La Specialista,EC9155.MB,285x365x399 (with bean container),10,220-240 V / 50-60 Hz,120,15,2.5,1400,,,,,,
https://www.delonghi.com/en/ec9335-m-la-specialista-manual-espresso-maker/p/EC9335.M,La Specialista,EC9335.M,380x370x445 (with bean container),13.5,220-240 V / 50-60 Hz,120,19,2,1450,,,,,,
https://www.delonghi.com/en/ec9355-bm-la-specialista-prestigio-manual-espresso-maker/p/EC9355.BM,La Specialista,EC9355.BM,,13.5,220-240 V / 50-60 Hz,120,19,2.5,1450,,,,,,
https://www.delonghi.com/en/ec9355-m-la-specialista-prestigio-manual-espresso-maker/p/EC9355.M,La Specialista,EC9355.M,390x350x450 (with bean container),13.5,220-240 V / 50-60 Hz,120,19,2.5,1450,,,,,,
https://www.delonghi.com/en/ec9665-m-la-specialista-maestro-manual-coffee-maker/p/EC9665.M,La Specialista,EC9665.M,360x350x450 (with bean container),16,220-240 V / 50-60 Hz,140,19,2.5,1450,,,,,,
