Primary ASIN,Product Title,Rating,Global Ratings,Global Reviews,Product URL,Review No.,Variant ASIN,Variant Details,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Reviewed In,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,1,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R1KWKQYRDBV8U7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06X3Z9MF3,Mason,https://www.amazon.com/gp/profile/amzn1.account.AH7ZPBSSOMP7NMCJA6HRZMCU5HEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3.0 out of 5 stars,the United States,"January 9, 2020",Not for those whose like drawing on the cappuccino,"Bought this for my wife because she like making shape and drawing picture on the cappuccino but this machine doesn’t matter we try change the beans or setting, we even called In but still can’t do it.  Big disappointment.",N/A,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,2,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R1SCT1AYDKTFD0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06X3Z9MF3,Anders Haugland,https://www.amazon.com/gp/profile/amzn1.account.AFLHOXX4EVMEN23CR2ORIRDJFHNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"February 3, 2020",A must for both office and kitchen,Excellent slim espresso machine. Very easy to operate.,N/A,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,3,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R38OXHKUOVPU1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06X3Z9MF3,A,https://www.amazon.com/gp/profile/amzn1.account.AEMZDSPZ5TCJSBLLYML55MQ73XMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"January 27, 2020",Easy to operate,Good machine,N/A,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,4,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R3HCGJBUDF7K3A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06X3Z9MF3,GiuHwan Jo,https://www.amazon.com/gp/profile/amzn1.account.AHEG5FAWDZTOPWKJNWK37HRJ5OEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"May 24, 2019",2Cs: Compact & Convenient,"First of all, it doesn't occupy space much thanks to its compact size. Economically it's important considering expensive land price.Secondly, its convenient features in design that has consudered most human behaviour to make own coffee, such as cup tray, cup warmer, 3 types of filters incl. ESE pod coffee etc.",2 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,5,N/A,N/A,N/A,umik,N/A,4.0 out of 5 stars,the United Kingdom,"October 9, 2018",N/A,"I like latte coffee but not bothered about the patterns with the milk that comments are made. I've tried a few coffees and found that the tesco Italian suits my taste. Better than costa :-) . So as a coffee maker I like it a lot. Better than my old Tessimo that took expensive pods. This works out cheaper and better to use. The sleek design works for me due to space, only had it a week but all good. Watch YouTube videos to help you understand on how to works plenty on YouTube.",159 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,6,N/A,N/A,N/A,SNAPPYFRED,N/A,5.0 out of 5 stars,France,"August 29, 2018",N/A,"Reçu avant la date prévue, merci !Ah ces capsules !! En avez-vous déjà ouvert une ? C'est un cône en plastique où le café est emprisonné sous encore une fine pellicule en plastique . ( pas bon pour la planète ) Elles sont de surcroît deux fois plus chères que du café moulu ( 250gr au lieu de 128gr, soit :16 x 8gr pour les capsules ) . Ce percolateur fait du très bon café, ( l'eau chaude, réglable, est directement injectée sur le café, pas comme dans une capsule ) . De plus, vous pouvez utiliser des dosettes, style ""SENSEO"" (moins bon) s'il vous en reste encore, (c'est mon cas) dans le filtre prévu à cet effet . Ne vous inquiétez pas sila dosette est plus grande que le filtre : tassez-là sur les bords, et ça rentre . Cette machine est plus silencieuse que ma ""Krups  Dolce Gusto"" . Elle est bien pourvue en accessoires : Trois filtres, la cuillère doseur/tasse-café, le détartrant .Certains commentent qu'il faut tenir le perco lorsque l'on insère l'appareil à café : son faible encombrement, (donc sa légèreté ) est un atout pour un gain de place, et si l'on ne veut pas tenir l'engin, il faut en acheter un ""De  Pros"" , comme dans les Bars, et avoir la place pour le mettre .  CONCLUSION : très bon rapport qualité/prix .",263 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,7,N/A,N/A,N/A,Helen Bottrill,N/A,1.0 out of 5 stars,the United Kingdom,"April 6, 2019",N/A,"The media could not be loaded.
                




   Bought this coffee machine to replace an old well loved de longhi - went with the same make because we'd been really happy in the past. It worked well for a couple of weeks and then just stopped pumping - we sent it back to Amazon for repair (as it was past the return/refund time) it came back looking like it hadn't even been unpacked out of the box and wasn't working any better when we plugged it back in. Just dripping through instead of the normal flow with crema that we are used to. The video that we've shared is actually it on a good day! We are now stuck with a coffee machine that we can't return, can't sell and doesn't work. Gutted.",115 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,8,N/A,N/A,N/A,Petit family,N/A,5.0 out of 5 stars,Italy,"January 22, 2019",N/A,"The media could not be loaded.
                




   Dopo una settimana posso dire che fa un caffè ottimo. Devo dire che l' ho provata solo con Lavazza qualità rossa per moka ed è ottimo anche con questo tipo di caffè ,avevo solo quello in casa. Mi raccomando un misurino intero da  7 grammi e poi importante è la pressione. Per fare il cappuccino ho notato che il braccio si muove e si discosta dalla macchina rendendo più facile lavorare per ottenere la schiuma, (muovere  la tazza in maniera circolare aiuta a ottenere più schiuma). La pulizia è facilissima. I filtri si possono tirar via con quella guarnizione intorno che li rende molto più semplici da lavare. Il filtro per le cialde non ha il filtro removibile ma penso sia fatto di proposito. quando si schiaccia il pulsante del caffè La macchina emette per 3 secondi un rumore come se uscisse  caffè poi si arresta e riprende l erogazione. Ho letto che è del tutto normale. Come quando si fa il vapore che fa un rumore ad intermittenza. Un po' complicato regolare temperatura e quantità di caffè desiderata;inoltre, per me va bene così, ma il caffè non esce bollente come con la moka. Facilissimo pulire il raccoglitore sotto la tazzina. Per me è un' ottima  macchina del caffè paragonata anche alla precedente, saeco via venete de luxe, anche se non ho capito se quella color metal è effettivamente tutta acciaio inox e questa no o cambia solo il colore. Cmq questa nera è costata 20 euro in meno rispetto alla metal. Consiglio acqua della bottiglia e decalcificare spesso.",180 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,9,N/A,N/A,N/A,Siddharth Sharma,N/A,1.0 out of 5 stars,India,"December 13, 2019",N/A,"Machine's pump started malfunctioning post descaling within 20 days of use, so called engineer/people who came to check the machine from Orient Electric had no idea how to diagnose the problem or check the machine in general. They asked me for the manual and sat down wondering what to do. They contacted their boss and told me they'd take the machine to the service centre. They had no product receiving slip. They asked me to write it all on a blank sheet of paper that they'll sign.This machine comes with a UK plug. They didn't even have the plug converter with them. They borrowed mine. After a week, the machine came back. The person who brought this back had no idea how to install it or run it. Couldn't demonstrate its functioning. The machine started delivering watery shots.  I went to Delonghi's youtube channel to learn the program reset procedure and ran it to get it back to default values. The problem with watery shots remained as it was. I reported this to the Orient Electric service centre and they sent the same 'I have no idea how this machine works' people to check the machine. The pump is dripping again.This might be a BAD QUALITY PROUCT supported by BAD QUALITY SERVICE.",128 people found this helpful,Yes
B06X3Z9MF3,"Delonghi EC685.B DEDICA 15-Bar Pump Espresso Machine Coffee Maker, Black, 220 Volts (Not for USA - European Cord)",4.4 out of 5,4246,1577,https://www.amazon.com/Delonghi-EC685-B-DEDICA-Espresso-Machine/dp/B06X3Z9MF3/ref=cm_cr_arp_d_product_top?ie=UTF8,10,N/A,N/A,N/A,Andreea Mirica,N/A,4.0 out of 5 stars,the United Kingdom,"January 9, 2020",N/A,"I bought this coffee machine 1 week ago .If you would have asked me a week ago, I would have give it  1 star or no star if possible .. but now I will give it  4 stars. It is not perfect but it doesthe job ,it  work very well and you have a pretty decent coffee .Firstly I had  to read the instructions 3 times because there are not  very helpful but after I watch few videos on YouTube I got the hang of it .Do not judge it straight away ,take your time and be patient .You have to understand this is not an industrial coffee machine.Secondly once you do your coffee give it time to cool off so you could use the steamer for hot milk and capucino.Very easy to clean and so much cheaper then drinking a coffee out . Just a little update .I used it for 6 months now ,amazing little machine and the coffee it gets better and better or maybe my barista skills kicked in 😅.Highly recommended.After 1 year of purchaseGreat machine ,easy to clean ,the coffee it gets better and better .",65 people found this helpful,Yes
