Primary ASIN,Product Title,Rating,Global Ratings,Global Reviews,Product URL,Review No.,Variant ASIN,Variant Details,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Reviewed In,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
,,,,,,,,,,,,5.0 out of 5 stars,,"December 30, 2021",,"We’ve had the Maestosa machine for 3 weeks and love the coffees it makes. Delicious, smooth, full flavour and effortless maintenance. We use one of the hoppers for espresso beans and the other for decaf beans. Easily the best coffee machine we’ve ever purchased.",,
,,,,,,,,,,,,5.0 out of 5 stars,,"December 24, 2021",,"The Maestosa is a fabulous machine that makes amazing drinks with ease and simplicity. The espressos and cappuccinos are awesome, the milk froth a delight, and the range of drinks that it makes is mind blowing. My only issue is with the Coffee Link app which needs to be more stable and fast.",,
,,,,,,,,,,,,5.0 out of 5 stars,,"December 22, 2021",,This is an unbelievably fabulous coffee machine. The espressos are awesome and the cappuccinos are mind blowing. The range of drinks on offer is so wide - it will take us months to try each of them.,,
,,,,,,,,,,,,5.0 out of 5 stars,,"December 9, 2021",,"Bought this machine few weeks back. There are many settings and customisations that allows you to set and suit to your taste. From tea functions to hot chocolate, this machine does cater to every events.

Maintaining this machine is fuss free. From near empty water tank and topping up water, notifications were display to inform you of the events even when you are pouring water to the brim.

Never regret getting this machine",,
,,,,,,,,,,,,5.0 out of 5 stars,,,,"Dont know how I have lived without this machine, beautiful coffee every time no matter what recipe we use.
Quick to heat up.
Great how we can use two different beans just choose in menu which one you want to use
Very clear screen and very easy to navigate and my kids love the app as they can make drinks from another room.
Very happy overall cannot speak highly enough of this machine.",,
,,,,,,,,,,,,5.0 out of 5 stars,,,,"I fell in love with this coffee machine initially attracted by the sleek made in Italy design and manufacturing, then I had the change to try one of the numerous coffees that can be delivered in one touch and immediately decided to buy the machine. To my humble opinion, there is no comparison with other domestic coffee machines in the market. This machine goes above and beyond.",,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,1,N/A,N/A,,,,5.0 out of 5 stars,,,,"What an absolutely wonderful coffee machine! I'm so impressed. This machine makes every kind of coffee you could ever ask for plus it makes hot milk, iced coffees or chocolate and hot chocolate! This machine is very easy to use, the only thing you have to worry about is picking what kind of coffee you'd like to drink. The machine itself will do everything for you, it will show you each step it takes from grounding the beans to frothing the milk.
It's very easy to care for and clean, what impressed me the most about this particular machine is the Crema it produces! not once but every time you make a coffee! I personally like my coffee hotter than most people and once I turned off the energy saving tab, wow what a difference it made, now i have my coffee exactly how I like it hot! This particular coffee machine is pure pleasure to use and to drink from. I absolutely love this machine, if you too love your coffee as much as I, then don't look past the Maestosa coffee machine from DeLonghi it's worth every cent!!",,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,2,N/A,N/A,,,,4.0 out of 5 stars,,,,"I love our new Maestosa machine. After our in-home barista service, I learnt even more about the machine and its capabilities. My only disappointment was that we were promised a gift pack upon purchase of the machine, which was given to us but was short of the items promised. I understand the gift pack was a bonus, however, it was still disappointing.
Still love the machine though !!",,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,3,N/A,N/A,,,,5.0 out of 5 stars,,,,"We have had the Maestosa for about 5 weeks now and absolutely love it. I literally go to sleep at night looking forward to my morning coffee. We purchase our beans from our local cafe and after adjusting the grind and a few other settings, we now enjoy the taste of our local cafe coffee at home. It also creates the perfect creamy milk just like barista made. We love that we have the choice of the 2 bean hoppers which means we can enjoy a different coffee in the afternoon than we do in the morning. We make sure we clean all the components thoroughly once a week which is very simple & takes about 10 minutes, it’s well worth it to get the consistent great tasting coffee. We have made our own custom coffees through the app although the coffees that are programmed by default are amazing too, our favourite is the Latte Macchiato. An interesting fact, the Maestosa is man made rather than by machine which is very cool knowing that a person has actually built it. Ooh and another thing, our 2 year old loves the baby-chinos which we customised to his very own profile. Although it is an expensive purchase, it is such a great investment and looks great in the kitchen too. We can’t speak highly enough of the Maestosa.",,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,4,N/A,N/A,,,,4.0 out of 5 stars,,,,"This machine work of art. It makes great coffee and very easy to use.
I bought one for my small office. Everyone was very happy about this purchase.

So far I noticed only 2 disadvantages.
1) I also bought Delonghi ecam 650.85 for home about 6 months ago. It was 600$ cheaper then Maestosa EPAM 960.75. I think that Maestosa maks better coffee and functionalities such as preparing 2 cappuccino at the same time is great. But ECAM 650.85 has some great functionalities that are missing in Maestosa. For example absent of cup warmer in Maestosa. Another example is that in Ecam 650.85 you can set auto-start time for your coffee machine. I think for such a big amount of money Maestosa should have all possible features that DeLonghi can offer.
2) The android application is not working at all. It can't connect to the internet. When you try to connect it to Maestoso it says that ""device isn't recognized"" or something like that and app need internet to download Maestosa data :). I hope someday DeLonghi will produce wifi adapter for its devices and will rewrite its mobile applications.

Overall it is a very good coffee machine and I can recommend it but I really upset that one of the main and so much promoted feature - Mobile Application, isn't working at all.",,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,5,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,6,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,7,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,8,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,9,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,10,N/A,N/A,,,,,,,,,,
B005XGWIA6,"Delonghi ESAM5500B Perfecta Digital Super Automatic Espresso Machine with Cappuccino Function, Black",4.2 out of 5,49,42,https://www.amazon.com/Delonghi-ESAM5500B-Perfecta-Automatic-Cappuccino/dp/B005XGWIA6/ref=cm_cr_arp_d_product_top?ie=UTF8,11,N/A,N/A,,,,,,,,,,
