Primary ASIN,Product Title,Rating,Global Ratings,Global Reviews,Product URL,Review No.,Variant ASIN,Variant Details,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Reviewed In,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,1,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R3I7GF09M68UH3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000OC7SZ4,Elyahuz,https://www.amazon.com/gp/profile/amzn1.account.AFF776Z6F2CBNIY2QOKO23PIGOIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"December 11, 2019",Ok,Ok,N/A,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,2,N/A,N/A,https://www.amazon.com/gp/customer-reviews/R3G9ARJMIG6EME/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000OC7SZ4,Nirit rotem,https://www.amazon.com/gp/profile/amzn1.account.AG2PVWIGQRHUCWYXMI76QLFHYTRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,the United States,"December 31, 2019",👍🏻👍🏻👍🏻,Very good,N/A,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,3,N/A,N/A,N/A,Matrix17,N/A,4.0 out of 5 stars,Germany,"November 26, 2018",N/A,"Nach 4 Jahren im Dauereinsatz muss ich nun mal eine Rezension für unsere liebgewonnene DeLonghi schreiben.Der Vollautomat ist bei uns täglich mehrmals im Einsatz und hat uns noch nie enttäuscht. Ob Espresso, Lungo oder Latte Macchiato, alles gelingt. Wir haben auch immer wieder neue Bohnen und Marken ausprobiert und hatten mit keiner irgendwelche Beanstandungen in der Verarbeitung und Zubereitung. Geschmacklich muss jeder seine Lieblingsmarke selbst herausfinden.Da wir nicht immer eine Kaffee-Milchkombination trinken haben wir uns bewusst für eine Düse zum Milchaufschäumen und gegen einen Milchvorratsbehälter entschieden.Man muss sich daran gewöhnen, aber dann gelingt der Schaum immer und kinderleicht.Wir haben die Maschine bisher immer mit dem Original Entkalker von DeLonghi gereinigt und konnten deswegen kaum Kalkspuren feststellen. (Ein paar wenige haben wir am oberen Deckel des Wasserbehälters)Den einzigen Verschleiß merken wir daran, das bei der normalen Kaffeezubereitung etwas Wasser aus der Aufschäumdüse heraustritt.Mit deutlich teureren Geräten hatten wir hier in kürzerer Zeit schon weit mehr Probleme.Für uns ist der Kaffeevollautomat ein Gebrauchsgegenstand. Deswegen stören uns Gebrauchsspuren auch nicht.Allerdings muss ich hervorheben, das die metallene Abdeckung durch die darauf stehenden Kaffeetassen sehr schnell verkratzt wird, was manche durchaus stören kann.UPDATE:Neulich ist es uns passiert dass der Kaffee nur noch getröpfelt ist und weit weniger aus den zwei Düsen lief. Nach einiger Recherche im Internet die Lösung. Das Entkalkungsprogramm führt nicht durch den Brühkopf.Um diesen zu entkalken muss man die Entkalkungslösung einfüllen und dann die Taste für das Entkalkungsprogramm nur kurz antippen. Es erfolgt nun eine „Spülung“ durch die Brüheinrichtung. Nach zwei mal war der Brühkopf wieder frei.Nach diesem Spülen mit Entkalker sollte man dies natürlich auch mit reinem Wasser ein paar mal durchführen damit keine Reste des Entkalkers zurück bleiben.Fazit: Ein zuverlässiger täglicher Begleiter. Klare Kaufempfehlung. Ein Stern Abzug für die „tropfende“ Düse und die zerkratzte Abdeckung.PS: Ich nehme mir viel Zeit die Produkte ausführlich zu testen und meine Erfahrungen als Rezension wiederzugeben.",199 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,4,N/A,N/A,N/A,gosh,N/A,1.0 out of 5 stars,France,"September 3, 2018",N/A,"Une aventure un peu longue avec Amazon pour la prise en charge de cette machine qui est tombée en panne en seulement  au bout de 1 an, je renvois au SAV qui me dit machine non réparable, Amazon me dit on change en neuf!!! cool mais non !plus de nouvelles pour ensuite me dire ""on ne peut pas vous la remplacer car l'article à un problème, il retombera en panne""Conclusion: machine sympa pendant 1 an ensuite le moulin se casse et la galère du SAV commence mais à l'air de fonctionner.Le plus drôle dans tout cela c'est que Amazon ne remplace pas car machine pas fiable mais on peut lire sur leur site concernant cette article ""Amazone choice""!!! dingue non? ils la recommande!!",136 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,5,N/A,N/A,N/A,Pilot Pirx,N/A,4.0 out of 5 stars,Germany,"September 2, 2018",N/A,"Wir nutzen die gleiche Maschine schon seit Jahren ohne Probleme in der Firma, da habe ich beim günstigen ""Tagesangebot"" einfach zugreifen müssen :-) Neben der Robustheit gefällt mir sehr gut, dass man die Maschine wirklich sehr leicht reinigen kann, das betrifft auch die Brühgruppe, die man mit einer Hand ausbauen kann. Die Qualität des zubereiteten Kaffees ist gleichbleibend gut, hängt aber hauptsächlich von der verwendeten Kaffeesorte ab. Empfehlen kann ich da den ""Espresso Cremoso"" von Lavazza, der schmeckt mir aus der Maschine am besten.Was man wissen sollte: Es kommt schon mal vor, dass man beim Einsetzen des Wassertanks oder beim Reinigen der Tropfschale ein wenig kleckert; da der Maschinenboden aber teilweise aus verschraubtem Blech besteht, fängt der an zu rosten. In unserer Firma hat die Maschine einen unschönen Rostfleck auf der Arbeitsplatte hinterlassen, daher gleich beim Aufstellen Küchentücher oder ähnliches unterlegen, damit Wasser unter der Maschine heraus und verdunsten kann.Was mir gar nicht gefällt und daher auch einen Stern Abzug bekommen hat, ist die ""Weiterentwicklung"", die der Hersteller der Maschine angedeihen lassen hat. Sie entspricht nämlich in einem kleinen aber wichtigem Detail nicht mehr dem Produktfoto; statt der Taste zum Einfüllen gemahlenen Kaffees (rechts unten am Bedienteil) findet sich jetzt eine ""ECO""-Taste. Diese ist ziemlich sinnlos, denn selbst im ECO-Modus muss man maximal ein paar Sekunden länger auf den Kaffee warten. Ein Abschalten bringt unmittelbar nichts, weil die Maschine ja trotzdem das Wasser erhitzen muss, daher wäre eine ECO-Grundeinstellung (permanent an bzw. aus) deutlich sinnvoller gewesen. Dafür kann man jetzt aber keinen gemahlenen Kaffee mehr verwenden! Theoretisch geht es schon, jedoch nimmt man jetzt die Einstellung am Regler für die Kaffeemenge vor, verstellt damit aber natürlich die Kaffeemenge, wenn man wieder auf Bohnen wechseln möchte. Was hat DeLonghi da nur geritten? Bitte wieder ändern!",78 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,6,N/A,N/A,N/A,S.B.,N/A,1.0 out of 5 stars,Germany,"June 14, 2018",N/A,"Ich war mit dem Automaten zufrieden. Ärgerlich ist, dass er 2 Monate nach Ablauf der Garantiezeit defekt ist: Die Elektrik spinnt und manchmal funktionieren die Knöpfe, manchmal tut sich gar nichts. Ich habe den Automaten nicht übermäßig oft beansprucht und stets regelmäßig gepflegt und gereinigt.",85 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,7,N/A,N/A,N/A,Jo l'indien,N/A,1.0 out of 5 stars,France,"August 15, 2020",N/A,"Je possède cette cafetière Delonghi, en service dans une résidence secondaire, où elle a servi environ 1 semaine tous les  mois pendant 2 ans et demi pour 5 à 6 cafés par jour. Correctement entretenue et détartrée avec les produits de la marque, elle s'est autodétruite comme par hasard à 2 ans et demi, avec l'infuseur qui est descendu plus bas que la normale par le moteur, entrainant la casse de plusieurs parties en plastique, avec par ailleurs une erreur software insurmontable. Cette machine relève d'une garantie de 3 ans (un an d'extension sur ce modèle) ou 8000 cafés chez Delonghi. Amazon considère qu'ils la garantissent 2 ans seulement. Achetée chez Amazon, Delonghi répète que Amazon est seul responsable de la garantie, tandis qu'Amazon refuse de prendre en charge car les deux ans sont écoulés, sans respecter la garantie constructeur. Au total, marque à fuir si vous achetez chez Amazon, et comportement honteux de la part d'Amazon. 270 € à la déchetterie.",32 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,8,N/A,N/A,N/A,Pirx,N/A,4.0 out of 5 stars,Germany,"August 1, 2018",N/A,"Da meine Tchibo Pad-Maschine (50 Euro!) nach ca. 8 Jahren in den verdienten Ruhestand verabschiedet wurde, sollte es nun ein Vollautomat sein. Der erste Eindruck unserer neuen Maschine von De'Longhi: Etwas viel Kunststoff und wenig überzeugende Haptik. Daher nur vier, statt fünf Sterne. Andererseits kann man wahrscheinlich für ca. 270 Euro auch nicht erwarten, dass das Ding aus Edelstahl besteht. Die Inbetriebnahme des Gerätes gelang jedenfalls problemlos und das Ergebnis, also der Kaffee, ist super. Sehr gut gefällt mir, dass man alle wichtigen Dinge erledigen kann, ohne das Gerät drehen zu müssen. Wasser und Kaffee auffüllen und Entsorgung der Kaffeereste ist sehr einfach zu bewerkstelligen. Mir dem Aufschäumen der Milch hab ich noch so meine Probleme aber ich denke, das benötigt nur etwas Übung und wird bei uns auch nur selten genutzt. Super finde ich, dass man die Stärke und die ausgegebene Menge des Kaffees, stufenlos regeln kann. Letztlich ist es wahrscheinlich wichtiger, die richtige Kaffeesorte auszuwählen, als 1000 Euro für das Equipment auszugeben. Ähnlich wie beim Grillen, kommt es auf das Fleisch an und nicht so sehr auf den Grill.",55 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,9,N/A,N/A,N/A,Scolavino Alessandro,N/A,1.0 out of 5 stars,Italy,"May 30, 2018",N/A,"Avevamo il modello precedente che non ha mai dato problemi, questa è stata una pena:La prima è arrivata con un guasto alla scheda non si accendevaSostituita, dopo 6-7 mesi si è guastata la scheda anche in questa e ha iniziato a fare il caffè quando voleva lei (di notte di solito) per cui dovevamo sempre staccare la spinaMandata in riparazione hanno deciso di sostituirlaLa terza è arrivata e anche questa ha un problema alla scheda, si accende, lampeggia un pò poi si spegneFortunatamente il servizio clienti amazon è sempre al top e abbiamo fatto un reso.Pessima esperienza!",64 people found this helpful,Yes
B000OC7SZ4,"Delonghi super-automatic espresso coffee machine with an adjustable grinder, milk frother, maker for brewing espresso, cappuccino. ESAM3000 Magnifa",4.4 out of 5,3221,2294,https://www.amazon.com/Delonghi-super-automatic-espresso-adjustable-cappuccino/dp/B000OC7SZ4/ref=cm_cr_arp_d_product_top?ie=UTF8,10,N/A,N/A,N/A,louardi moussaoui,N/A,5.0 out of 5 stars,France,"February 22, 2018",N/A,"Acheté suite à une panne d'une machine a café marque Jura dont le prix est le triple de celle ci, je peux dire qu'il n'y a aucune différence entre les deux machine mis à part peut être le bruit du nettoyage car jura est plus silencieuse que delonghi. Le point fort de DeLonghi c'est qu'on peux régler facilement et précisément le broyeur des graines du café pour avoir un café plus concentré et avec plus de goût je trouve.Franchement je suis satisfait du produit pourvu que ça dure, et qu'il n'y aurait pas de panne dans l'avenir surtout au niveau de la platine de commande car c'était ça mon problème avec la machine Jura dont seulement le prix de la plaque est presque le prix de cette machine DeLonghi.Voili voila mon constat pour le moment.",60 people found this helpful,Yes
