,sequence,labels,scores
0,"The media could not be loaded.
                




   Worauf kommt es bei so einem Gerät eigentlich an? Braucht man ""Bean Adapt"", eine App oder verschiedene Profile?Meines Erachtens nicht, denn den Mahlgrad kann ich ja ohnehin einstellen, eine Fernbedienung (App) bringt ja auch nicht soooviel, wenn man noch selber die Tasse bewegen muss ;-) und da ich jedes Getränk in 5 Sekunden nach meinen Wünschen verändert habe, ist der Weg über ein Profil meist sogar langwieriger.WAS MAN ABER BRAUCHT:Eine Maschine, die exzellente Temperaturen liefert. Und das nicht nur beim Kaffee, sondern auch bei der MILCH und dem Heißwasser.Ein Gerät, dass sich intuitiv bedienen lässt und bei der Produktion angenehm leise ist.Ein Milchschaum, der den Namen Schaum auch verdient.Ein Automat, der leicht zu reinigen ist, weil er erst gar nicht so stark verschmutzt wie vergleichbare Geräte.Und natürlich auch ein einfach zu reinigendes Milchsystem, dessen Teile alle in die Spülmaschine dürfen.Und ganz nebenbei natürlich auch einen super aromatischen KaffeeAußerdem Getränkevorwahlen deren Konsistenz/Menge dem geltenden Standard entsprechen, denn eigentlich möchte man ja gar nicht ständig etwas ändern, sondern nur EINEN Knopf drücken. Und das ist hier so.Ich lasse euch hier mal einen Ausschnitt meines 77-minütigen YouTube Videos da. Das komplette Video findet ihr auf YouTube mit der Sucheingabe: ""ffTQyhy79x0""Zur eigenen Transparenz: Ich habe das Gerät hier ganz regulär gekauft um meine 3 Jahre alte ""Saeco Xelsis"" auszutauschen, die leider sehr schlechte Ergebnisse lieferte. Also keinerlei Sponsoring, Testgerät oder ähnliches!28.05.2021:Ich habe euch heute, nach 5 Monaten GLÜCKLICHER Nutzungszeit, ein weiteres Video eingestellt, das die unbehandelten Themen aus dem ersten Video und die Nutzererfahrung zeigt. Dieses findet ihr auf YouTube mit der Suche ""3seZPT-C5D4"".","['durability', 'usablity', 'not durability', 'not usability']","[0.2700609266757965, 0.2523573935031891, 0.24096080660820007, 0.23662087321281433]"
1,"Nach langem Warten habe ich gestern meine neue Primadonna Soul bekommen. Die Vorfreude war riesig. Beim Auspacken habe ich mich schon über die etwas „unordentliche“ Verpackung der Maschine innen gewundert. Als ich die Maschine dann aufgestellt habe, waren da sowohl Wasserflecken, wie auch Kaffeepulver an der Maschine deutlich zu sehen. Nun war ich schon etwas skeptisch, da die Mschine aber aktuell nicht mehr lieferbar ist und ich mich sehr auf sie gefreut habe, nicht zuletzt aufgrund der sehr vielen sehr positiven Testberichte, habe ich sie angeschlossen und ausprobiert. Nachdem ich ein bischer ausprobiert habe, stellte ich fest, dass bereits zwei Kaffeebohnen in der Maschine unter Bean Adapt eingespeichtert waren, die Fotos lassen klar auf einen Privatgebrauch schliessen. Die ersten Kaffees, mehr waren es bisher noch nicht, schmecken, trotz akribischer Einstellung, sehr bitter und bringen bei weitem nicht das erwartete und gewünschte Ergebnis. Nachdem ich mich dann mit den Einstellungen näher beschäftigt habe, fast ich den Menüpunkt „Statistiken“ und siehe da, meine „neue“ Espressomaschine hat wohl schon 53 Kaffes und weitere 84 Michkaffees, sowie einen Tee hergestellt, zudem wurden bereits 25l Wasser verbraucht ... das wundert mich bei einer nagelneuen Maschine für über 1150€ sehr und lässt mich doch sehr an der DeLonghi und vorallen Amazon zweifeln. Nachdem leider der Kaffee noch nicht das Aroma hat, das ich mir wünsche und erwarte, bleibt der schlechte Geschmack, ob nur ich das „Neugerät“ noch besser kennenlernen und einstellen lernen muss, oder die Maschine womöglich schon vorher nicht ganz einbandfrei funktioniert hat .... Die Maschine geht zurück und bei Amazon werde ich zukünftig zweimal überlegen, ob so hochpreisige Produkte nicht doch besser beim Einzelhändler in der Nchbarschaft gekauft werden.","['durability', 'usablity', 'not usability', 'not durability']","[0.27677103877067566, 0.2566905617713928, 0.23335759341716766, 0.23318079113960266]"
2,"Der Kaffeevollautomat kam nach einer angemessenen Zeit hier an, aber am Originalkarton war schon zu sehen, das er mal geöffnet war. Nach def ersten Sichtung war dann auch klar, er war schon benutzt... noch Kaffeebohnen im Fach, alles sah unsauber und mit Fingerabdrücken übersät aus, alle Tüten mit Zubehör schon mal aufgerissen.... Wir haben das Teil gar nicht aus der Verpackung gewuchtet, sondern gleich zurückgeschickt. Für den Preis möchte man doch schon ein neues, unbenutztes Gerät! Nochmal bestellt und mal schauen, ob es dann besser ist ....","['durability', 'usablity', 'not durability', 'not usability']","[0.4007343351840973, 0.21064938604831696, 0.196791872382164, 0.19182448089122772]"
3,"Die Maschine ist leider nach  8 Wochen Wochen begeisterter Nutzung defekt. Reparatur dauert 3-4 Wochen und es wird kein Vorabaustausch durchgeführt. Für eine Maschine, die über 1000€ kostet inakzeptabel. . Kann nur eingeschickt werden.Erst befand sich die Maschine nach Entkalkung in einer Endlosschleife im Entkalkungsmodus nach Hausfrauenhackertrick -Ausschalten und Netzstecker ziehen und warten ,ist sie jetzt im endlos Modus das der  Wasserbehälter nachgefüllt werden muss obwohl der voll ist.Voll nervig !Nach 4 Wochen Reparaturzeit Maschine zurück.Lt. Werkstatt war die Wasserpumpe defekt keinSoftware Problem. Freudig ausgepackt und sofortiger  Absturz der Stimmung . Im Karton Kunststoffsplitter. Teile des Bohnenbehälter abgesplittert.Anruf im Sevicecenter , es kann kein Ersatzbehälter geschickt werden.  Maschine muss wieder eingeschickt werden. Weitere 4 Wochen Wartezeit.  Nach Rücksendung neuerliche freudige  Weihnachtensgefühle endlich wieder den Automaten nutzen .Maschine aufgebaut und beim Versuch den Wassertank zu füllen ENDE! Wassertank auf dem Tranport  zersplittert. Jetzt endlich Erbarmen von der Firma. Maschine muß nicht eingeschickt werden.Wasserbehälter kann geschickt werden. Heute ,den 3. Juni, warten wir auf selbigen seit einer Woche.","['durability', 'not durability', 'usablity', 'not usability']","[0.2551894783973694, 0.2521567642688751, 0.2474522739648819, 0.24520151317119598]"
4,"- Lieferung Amazon und DHL: prima, keine Beanstandungen- Auspacken, Zubehör: einfach (Verpackung weitgehend Papier u. Pappe), vollständig vorhanden- Erste Inbetriebnahme: weitestgehend selbsterklärend, da Vor-Erfahrungen mit Kaffee-Vollautomaten vorhanden- Schnellstartanleitung: vermutlich vollständig, aber Chaotisch gegliedert, wenige Texterläuterungen (in englisch), schnell weggelegt- Bedienung sehr angenehm, durch die Benutzerführung über das Touch-Display leicht verständlich.- Kaffee: Menge und Aroma einstellbar, für uns perfekt; andere Geschmäcker urteilen evtl. kritischer- Milch-Kaffee-Gertränke: Schaum von wenig fest bist sehr fest einstellbar; Standardmäßig eher zu viel- Ob man die APP wirklich zum Starten des Kaffeeproduktionsprozesses sinnvoll nutzt, nun ja ...- Ob man die App zum Einstellen der ""Bohnenfarbe"" wirklich benötigt?- Sinnvoll scheint mir die App zur Einstellung eigener Kaffee-Rezepte, insbesondere, weil man darüber auch die Milchmenge beeinflussen kann. (Ich habe noch nicht verstanden, ob man auch mehr als EIN eigenes Rezept einstellen kann)- Ein Schwachpunkt ist aus meiner Sicht die Gebrauchsanleitung, die vorteilhaft jeweils in englisch und deutsch in einer Ein-Sprachenversion vorhanden ist. Andere Sprachen in diversen Sammelbänden. Wie bei der Schnellstartanleitung ist der Aufbau wenig übersichtlich gegliedert und sprachlich verwirrend. Viele Begriffe werden nicht ausreichend erklärt und unverständlich verwendet. Das betrifft insbesondere die manuellen Reinigungsprozeduren.- Sehr gefällt, dass die kompakte Brühgruppe leicht entnommen und gereinigt werden kann.- Überhaupt ist die Maschine vorteilhaft so aufgebaut, dass Bereiche in denen sich Kaffeemehl oder Kaffeeflüssigkeit sammeln könnten gut zur Reinigung und Inspektion zugänglich sind (mein Jura „KO“). Kleiner Nachteil: Tropfschale und Tresterbehälter nehmen beim Reinigen sehr viel Raum ein. Vorteil ist aber: die evtl. mit Kaffeemehl und Kaffee-Flüssigkeit „kontaminierten“ Teile sind kpl. außerhalb zu reinigen.- Außerdem gefällt der nach vorne herausziehbare große Wassertank. Man kann unmittelbar an der Maschine befüllen oder den Tank zum Wasserhahn tragen. Aus Versehen Wasser in den Bohnenbehälter zu verschütten ist gut vorgebeugt (uns schon passiert, Saeco danach Schrott).- Auch die Anbringung des leicht entnehmbaren Milchbehälters auf der Tropfschale ist m.E.n. gut gelöst. Da dieser nicht mit einem Schlauch, sondern einem Kuppel-Teil mit der Maschine verbunden ist, ist er gegen Umfallen weitgehend gesichert; wichtig wenn der Kaffee-Vollautomat auf einem Wagen untergebracht ist.","['durability', 'usablity', 'not durability', 'not usability']","[0.31729865074157715, 0.26254868507385254, 0.2119976431131363, 0.20815503597259521]"
5,"The media could not be loaded.
                




   La macchina è fatta molto bene, resistente e ha un bellissimo design. Si possono preparare tantissime bevande con il display touch e la cosa davvero interessante è che una volta impostata la bevanda preferita si può salvare nel proprio profilo in modo che la volta dopo non sia necessario rispostare le proprie preferenze. Non sono rimasta particolarmente soddisfatta del caffè espresso, troppo lungo e non corposo. Dovrò provare con un altro tipo di chicchi di caffè perché quest’ultimo incide molto sulla qualità del caffè finito. Il cappuccino è molto buono. Io la utilizzo anche semplicemente per l’acqua calda per poi farmi del the o tisane. Il contenitore del latte è stato progettato veramente bene, si attacca e stacca all’occorrenza in modo che poi si possa riporre direttamente in frigorifero. Si può regolare la schiuma del latte da poca a molta o anche senza schiuma come piace a mio figlio. C’è anche la app dedicata da scaricare , da lì si può scegliere la bevanda e comandare la macchina oltre a salvare le proprie preferenze. Il serbatoio dell’acqua è molto capiente. Il cassetto dei fondi quando è pieno va svuotato e la macchina avvisa automaticamente ma purtroppo avvisa troppo spesso e solo dopo la presenza di circa 6 fondi che occupano un terzo del cassetto. Il ripiano dove si appoggiano le tazzine è di acciaio lucido, molto bello da nuovo ma dopo pochi utilizzi si graffia facilmente. Complessivamente un buon prodotto ma può essere perfezionato. Il costo del prodotto è elevato ed è molto ingombrante, non adatta a cucine piccole.","['durability', 'usablity', 'not durability', 'not usability']","[0.33819910883903503, 0.2707260251045227, 0.1977887749671936, 0.19328615069389343]"
6,"Vergleich mit unserer nach 8 Jahren PrimaDonna S De Luxe ECAM 28.466.M kaputt gegangenen Maschinein der gleichen Preisklasse (1200€):-früher Edelstahl, jetzt Kunststoff mit Edelstahloptik (die alte sieht einfach edeler aus)-früher leiser, jetzt lauter (ist aber noch okay)-Geräusche klingen teilweise bei unserer neuen auch quitschender, vielleicht wird das ja besser (Update: ja quitscht nicht mahr nach 2 Wochen)-früher beheizbare Ablagefläche, Ablage kann nicht mehr beheizt werden-Nachteile wurden teilweise auch nicht verbessert: Maschine erkennt nicht, wenn die Bohnen knapp werdenDa fragt man sich, wo das Geld hingeht bei Delonghi, nicht in die Entwicklung, denn die Smartapp ist teilweise katastrophal. Viele Abstürze, Verbindungsfehler. Da muss nachgebessert werden.Ich kann nur 3 Profile erstellen, angepriesen werden 5!!!Ich gebe trotzdem nach dieser ganzen Kritik 4 Sterne (Update siehe weiter unten), weil..... es schmeckt einfach zu gut, die Reinigung ist vorbildlich, das Design für mich persönlich immer sehr ansprechend.Update nach 2 Tagen Nutzung: Leider ist der Übergang undicht von Wasserbehälter zu Maschine, also nicht der Behälter selber. Wie kann bei einer 1.200 € Maschine die Qualitätssicherung so schlecht sein?! Angeblich werden alle Maschinen von Delonghi doch vor Lieferung getestet.Dank Amazon schnell Retourenschein bekommen, leider ist die Maschine hier aber nicht mehr lieferbar.Update nach einem Jahr:weitere Probleme kommen dazu:-Es bildet sich jetzt permament Feuchtigkeit in der Maschine, der Geschmack bei unveränderten Bohnen und Settings ist nur noch lasch.Eingesendet und nach 4 Wochen zurück. Angeblich alles in Ordnung.-Flecken auf der Oberfläche, die wir nicht herausbekommen. Sieht aus wie korridert, ist aber ja alles aus Plastik :-) . Ich traue mich noch nicht mit härteren Mitteln dran aber mit Pril gehts definiv nicht raus.Am gleichen Standort sah unsere alte Maschine wie neu aus, als sie den Geist aufgegeben hat.","['durability', 'usablity', 'not durability', 'not usability']","[0.2898988425731659, 0.25908517837524414, 0.2274983823299408, 0.22351759672164917]"
7,Kaffeevollautomat super nur die Verbindung mit dem Smartphone bzw. dem Tabletklappt überhaupt nicht.Da nützt die App dann auch nichts.,"['not durability', 'not usability', 'usablity', 'durability']","[0.3536016047000885, 0.24957679212093353, 0.21031050384044647, 0.1865110993385315]"
8,"Il miglior caffè mai bevuto.Indubbiamente la qualità delle bevande prodotte è la migliore di qualunque altra macchina abbia mai avuto o provato. Si può scegliere il tipo di macinatura in base al tipo di chicco che si utilizza, mantenendo in memoria i profili.Moltissime scelte delle tipologie di caffè desiderato, con anche la possibilità di personalizzarle o crearle.Purtroppo non posso dare cinque stelle, perché su una macchina di questo livello elevatissimo, non si può programmare l'accensione. Esegue due lavaggi, all'accensione e allo spegnimento, utilizzando molta acqua. Questo rende praticamente inutile l'app, perché se sono distante fisicamente dalla macchina, non posso chiedere di preparare un caffè, dovendo essere fisicamente presente per poter inserire la tazzina sotto gli ugelli dopo che ha effettuato il lavaggio. Questa, per me, è una pecca abbastanza importante.Come però già detto, per chi ama il caffè e ama degustarlo, è indubbiamente la macchina ideale.Anche il cappuccinatore fa il suo lavoro, si può anche scegliere quanta e quanto intensa fare la schiuma.Sicuramente acquisto consigliato.Installazione semplicissima, con la guida sul display chiarissima. Utilissima anche la cartina per la valutazione della durezza dell'acqua e il sistema anti calcare in dotazione.","['durability', 'usablity', 'not durability', 'not usability']","[0.3401952087879181, 0.31578055024147034, 0.17949719727039337, 0.1645270138978958]"
9,"21.02.2022Ich muss leider meine unten stehende Bewertung korrigieren.Ich hatte hier nacheinander, wie unten zu lesen, 2 Maschinen gekauft.Nun ist die 2. Maschine kaputt nach einem Jahr Nutzung. Ich habe das Gerät eingeschickt.Angeblich sind nur etwa 1,5% aller Maschinen dieses Typs schadhaft geworden. Komisch. dann habe ich ja fast einen 6er im Lotto. Von den 1,5% habe ich bereits 2 Stück abbekommen. Es lebe die Statistik.Voraussichtliche Reparaturzeit für den abgegangenen Schlauch (Ferndiagnose vom Service) nun einen Monat ohne Maschine. Ich sehe schon, dass ich nach der Garantie eine Neue kaufen muss. Übrigens ist die Steuerung per Software grottenschlecht. Diese wurde leider auch bisher nicht überarbeitet.Bewertung nach dem Kauf:Zuerst einmal möchte ich den Support von Amazon an dieser Stelle loben. Ich hatte oft Kontakt wegen dieser Maschine und mir wurde immer in irgendeiner geeigneten Weise freundlich und kompetent geholfen.Alle Mitarbeiter, die mit mir in dieser Sache Kontakt hatten, haben hervorragende Arbeit geleistet und waren sehr freundlich und geduldig. Danke dafür.Zur Maschine selbst:Ich bin von der Maschine trotz nachfolgend aufgezählter Mängel begeistert. Die Maschine ist schnell und relativ leise, der Kaffee ist sehr heiß und aromatisch, wenn die Maschine ""eingefahren"" wurde.Geschmack und Bedienkomfort sind hervorragend. Ich kann das Gerät weiterempfehlen.Ich habe nach und nach verschiedene Mängel festgestellt, die sich nicht zu Hause beseitigen ließen. So zum Beispiel passte der Deckel des Bohnenbehälters nicht fest auf den Behälter, weil er etwas verzogen war. So etwas hätte eigentlich die Qualitätskontrolle sehen müssen.Es stellte sich dann im Laufe des Gebrauches heraus, dass die Maschine nicht erkennt, wann die Bohnen alle sind. Sie mahlt fröhlich mit leerem Behälter weiter und brüht ohne Kaffeepulver auf.Beide Probleme wurden durch Amazon in Form eines Rabattes mit mir geregelt.Nun stellt sich aber ebenfalls heraus, dass auch nicht korrekt reagiert wird, wenn während des Brühvorgangs der Wasserbehälter leer wird. Die Maschine bricht in diesem Fall den gesamten Vorgang ab und wirft das ungenutzte Kaffeepulver einfach weg.  Bei Getränken, die mehrere Mahlvorgänge benötigen, wird dann an irgendeiner Stelle aufgehört und der Halbfertige Kaffee kann dann meistens noch genutzt werden.Konnektivitätsprobleme der App kamen ebenfalls noch hinzu. Nun habe ich die Maschine zurückgegeben und sofort eine neue bestellt. Ursprünglich sollte ein Vorabaustausch stattfinden, was aber nicht geklappt hat, weiß nicht, warum.Auch der Support von Delonghi war sehr freundlich. Jederzeit wieder.","['durability', 'usablity', 'not durability', 'not usability']","[0.2896146774291992, 0.25540420413017273, 0.22934848070144653, 0.2256327122449875]"
