,sequence,labels,scores
0,yeah that grinder is loud but i imagine it is not any louder than my burr grinder,"['usability', 'not usability', 'video']","[0.6138830184936523, 0.23065771162509918, 0.15545928478240967]"
1,not really most are all about the same,"['not usability', 'video', 'usability']","[0.44661858677864075, 0.3282446265220642, 0.22513681650161743]"
2,thank you,"['usability', 'video', 'not usability']","[0.5334405303001404, 0.3928794264793396, 0.07368001341819763]"
3,would you recommend this machine over the lattago 5400,"['usability', 'video', 'not usability']","[0.8334580659866333, 0.12471053004264832, 0.04183141887187958]"
4,hmmmm tough one on warranty alone yes the eletta feel a little old school with the interface but a great workhorse for home,"['usability', 'video', 'not usability']","[0.7791341543197632, 0.12435975670814514, 0.09650609642267227]"
5,start making coffee at 3 17,"['usability', 'video', 'not usability']","[0.6210921406745911, 0.3267441689968109, 0.05216362699866295]"
6,can i know if this coffee machine allow manual milk frothing through the hot water wand meaning allow the steam to go out from the wand,"['usability', 'video', 'not usability']","[0.8119491934776306, 0.1019153892993927, 0.08613540977239609]"
7,no unfortunately you can not you would have to stick with the milk container system for milk drink,"['not usability', 'usability', 'video']","[0.6740899085998535, 0.24764849245548248, 0.07826164364814758]"
8,i am in canada and in process of buying a automatic machine shortly since this is basically an older machine now i believe what is your opinion on it v the new philip 5400 latte go when both are the same price at dollar1399 can i realize the philip ha more coffee option but a far a extraction are they equal overall or doe one excel here second which is overall easier to clean w the milk system and last which ha the longer standard factory warranty need to order shortly our last choice is a jura ena 8 but unsure if we really need to spend that much,"['usability', 'not usability', 'video']","[0.6888608336448669, 0.20274357497692108, 0.10839560627937317]"
9,they are both good machine we did a review of the 5400 on our channel but it wont be here till may been delayed so if you need one soon you are out of luck with that model extraction is about the same the philip is easier to clean but the delonghi not too hard either a for warranty delonghi win 2 1 year so three year that to me is the best selling point a for the ena 8 great for espresso but tough to get a good long coffee,"['not usability', 'usability', 'video']","[0.5503888130187988, 0.35014936327934265, 0.0994618609547615]"
10,could you do a review of the delonghi primadonna elite experience unboxing please most importantly how hot are the latte and cappuccino that come from the lettecreama system,"['usability', 'video', 'not usability']","[0.4948303699493408, 0.3340919017791748, 0.171077698469162]"
