,sequence,labels,scores
0,i have had his coffee maker for 8 year and i love it a few year after i bought it i bought one for my girlfriend and she us it every morning and love it,"['usability', 'video', 'not usability']","[0.8625885248184204, 0.09688695520162582, 0.04052457585930824]"
1,nice review i just got mine yesterday and brewed my first cup this morning for the first cup it wa pretty damn good just remember to turn the steamer off before putting the milk container under it i did not do this and made a mess one thing not mentioned is the cup warmer on top of the machine i did not know about this when i bought it and it wa a very nice surprise having a warm mug to start is supposed to help with ending up with a nice hot cup of joe,"['usability', 'not usability', 'video']","[0.7681154608726501, 0.12212543934583664, 0.10975907742977142]"
2,have it for a long time 5 or 6 year still working fine and it make alot of coffie about 1 kg of coffie every single day since we bouth it,"['usability', 'video', 'not usability']","[0.8649904131889343, 0.08345095813274384, 0.05155863240361214]"
3,would this be good to make tea for guest who do not like coffee,"['usability', 'video', 'not usability']","[0.9073494076728821, 0.06275124847888947, 0.029899394139647484]"
4,i just opened for the first time and i can not get it to heat the water nothing happens from step 5 on the startup very frustrating,"['not usability', 'usability', 'video']","[0.6145788431167603, 0.288878858089447, 0.09654233604669571]"
5,silly woman you are supposed to wait till the light stay on permanently for the milk frother,"['usability', 'not usability', 'video']","[0.43030455708503723, 0.37405863404273987, 0.1956367939710617]"
6,our magnifica esam 3300 is still running strong since 2011 just make sure to keep up on the cleaning and de calcification my only complaint are that it doe not do well with oil bean we still do but just hand to use a coarser grind and temperature is not hot enough for my taste i hardly ever use the frother since it take forever to heat when i do i cheat and microwave the milk to get it warmed before frothing it with the esam just got back back from san juan and had some good coffee even the one from the hotel pod machine tasted better so now thinking about getting a replacement but have a sentiment attachment to the magnifica,"['usability', 'not usability', 'video']","[0.8621941208839417, 0.0729486346244812, 0.06485725194215775]"
7,can you make regular coffee too,"['usability', 'video', 'not usability']","[0.8389315009117126, 0.08832942694425583, 0.07273906469345093]"
8,you can make a americano water down expresso not exactly the same a from a drip but ok,"['usability', 'video', 'not usability']","[0.8500575423240662, 0.08370514214038849, 0.06623736768960953]"
9,hi you mentioned not to buy too oily coffee bean for this machine not sure if i understood right did you say medium roast bean are best would you be kind to recommend a few brand that are ideal for this particular coffee maker please thank you,"['usability', 'not usability', 'video']","[0.6374803781509399, 0.25780051946640015, 0.10471905022859573]"
