,sequence,labels,scores
0,thanks,"['usability', 'video', 'not usability']","[0.5327008366584778, 0.39020413160324097, 0.07709501683712006]"
1,coffee grinder info,"['usability', 'video', 'not usability']","[0.799750804901123, 0.15765808522701263, 0.04259112477302551]"
2,great video but i wish you had shown the cleaning process i am lazy when it come to cleaning that is why i do not have a juicer they are a nightmare to clean,"['video', 'not usability', 'usability']","[0.8371480703353882, 0.10140646994113922, 0.061445459723472595]"
3,this machine is very sweet working,"['usability', 'video', 'not usability']","[0.91218101978302, 0.07694801688194275, 0.010870919562876225]"
4,i just bought a brand new one from a reseller super satisfied with the espresso i make with it for it is price a little noisy but worth it thank you for this video,"['video', 'usability', 'not usability']","[0.8736900091171265, 0.11850739270448685, 0.007802582811564207]"
5,wondering what i am doing wrong my shot drip into my cup instead of having a nice stream a yours did i am brand new to the espresso machine can you help me out,"['usability', 'not usability', 'video']","[0.5279155969619751, 0.35271260142326355, 0.11937177181243896]"
6,still delonghi is a dishonest company with stupid engineer doing bad designes and lye 15 bar lol not even close,"['not usability', 'usability', 'video']","[0.745290219783783, 0.1420610398054123, 0.11264868825674057]"
7,can you use pod with this machine mine ha the ese label on it and i do not know how to use pod or if i can,"['usability', 'not usability', 'video']","[0.5221481323242188, 0.3973850607872009, 0.08046677708625793]"
8,i have one but idk if i am using the right ground coffee,"['not usability', 'usability', 'video']","[0.49077925086021423, 0.4298863112926483, 0.07933441549539566]"
9,i am confused a to how to use the extra coffe holder how doe that fit into the portafiller,"['not usability', 'usability', 'video']","[0.47525250911712646, 0.4536449909210205, 0.07110252231359482]"
10,so doe it come with a tamper,"['not usability', 'usability', 'video']","[0.4303266108036041, 0.36388543248176575, 0.20578795671463013]"
11,are the maintenance and cleaning required similar to performing a surgical procedure like nepresso,"['usability', 'video', 'not usability']","[0.5861215591430664, 0.26851361989974976, 0.14536482095718384]"
12,doe it come w the grinder already,"['usability', 'video', 'not usability']","[0.634168803691864, 0.2975847125053406, 0.06824648380279541]"
13,hi there what wa that coffee grinder called cheer,"['usability', 'video', 'not usability']","[0.692617654800415, 0.24741004407405853, 0.059972286224365234]"
14,i have a similar machine and i am just confused at when to stop pulling the shot i thought the machine would stop on it own after the shot is done but it keep going so i really do not know when to stop it could someone help me on that,"['usability', 'video', 'not usability']","[0.557931661605835, 0.3880513608455658, 0.054016970098018646]"
